app_id: 0, app_name: pulse_doppler_api-x86, task_id: 99, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105681274084177, ref_stop_time: 105681274092583, actual_exe_time: 8406, task_app_start_time:105681260255688, task_sched_time:105681274081532
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 100, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105681274230723, ref_stop_time: 105681274237235, actual_exe_time: 6512, task_app_start_time:105681260255688, task_sched_time:105681274229120
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 101, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105681274307648, ref_stop_time: 105681274314381, actual_exe_time: 6733, task_app_start_time:105681260255688, task_sched_time:105681274305905
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 102, task_name: DASH_ZIP, resource_name: cpu1, ref_start_time: 105681274384332, ref_stop_time: 105681274390323, actual_exe_time: 5991, task_app_start_time:105681260255688, task_sched_time:105681274382078
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 103, task_name: DASH_FFT, resource_name: cpu2, ref_start_time: 105681274457029, ref_stop_time: 105681274463952, actual_exe_time: 6923, task_app_start_time:105681260255688, task_sched_time:105681274455817
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 104, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105681274599006, ref_stop_time: 105681274605338, actual_exe_time: 6332, task_app_start_time:105681260255688, task_sched_time:105681274597073
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 105, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105681274676482, ref_stop_time: 105681274684988, actual_exe_time: 8506, task_app_start_time:105681260255688, task_sched_time:105681274673787
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 106, task_name: DASH_ZIP, resource_name: cpu2, ref_start_time: 105681274749870, ref_stop_time: 105681274754619, actual_exe_time: 4749, task_app_start_time:105681260255688, task_sched_time:105681274748197
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 107, task_name: DASH_FFT, resource_name: cpu3, ref_start_time: 105681274821736, ref_stop_time: 105681274828248, actual_exe_time: 6512, task_app_start_time:105681260255688, task_sched_time:105681274820373
app_id: 0, app_name: pulse_doppler_api-x86, task_id: 108, task_name: DASH_FFT, resource_name: cpu1, ref_start_time: 105681274950798, ref_stop_time: 105681274958633, actual_exe_time: 7835, task_app_start_time:105681260255688, task_sched_time:105681274948464
